movie_title,imdb_id,duration,language,country,release_date,release_country,budget,genres,title_year,num_voted_users,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,actor_4_name,actor_4_facebook_likes,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,production,imdb_score
Dance-Off,tt3024964,95,English,USA,07 Oct 2014,release_countrytt3024964,budget,Comedy| Music| Romance,2014,511,Alex Di Marco,582,null,8530,null,8530,null,8530,null,8530,1104841,4606,101,Freestyle Digital Media,5
Innocent Lies,tt0113249,88,English| French| German,UK| France,30 Jun 1995,release_countrytt0113249,budget,Drama| Mystery| Thriller,1995,668,Patrick Dewolf,10,null,8530,null,8530,null,8530,null,8530,10567,13,6,N/A,5
N.O.L.A Circus,tt3349550,86,English| English,USA| France,25 Apr 2017,release_countrytt3349550,budget,Comedy,2015,67,Luc Annest,0,null,8530,null,8530,null,8530,null,8530,1588,5,0,Xlrator Media,5
Macbeth,tt0434541,109,English,Australia,21 Sep 2006,release_countrytt0434541,budget,Crime| Drama| Fantasy,2006,1972,Geoffrey Wright,71,null,8530,null,8530,null,8530,null,8530,1576628,8205,289,Emerging Picrtures,5
Me and My Mates vs. The Zombie Apocalypse,tt2846938,90,English,Australia,03 Aug 2015,release_countrytt2846938,budget,Comedy| Horror,2015,347,Declan Shrubb,0,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Winter of Frozen Dreams,tt0960098,92,English,USA,03 Apr 2009,release_countrytt0960098,budget,Crime| Drama,2009,624,Eric Mandelbaum,0,null,8530,null,8530,null,8530,null,8530,67457,49,8,Monterey Media Inc.,5
Growth,tt1300159,90,English,USA,07 Sep 2010,release_countrytt1300159,budget,Horror| Sci-Fi,2010,3434,Gabriel Cowan,109,null,8530,null,8530,null,8530,null,8530,5294545,3682,3452,STARZ MEDIA LLC.,5
Break-Up Nightmare,tt5460118,90,English,USA,13 Aug 2017,release_countrytt5460118,budget,Drama| Thriller,2016,283,Mark Quod,0,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Once Fallen,tt1087524,93,English,USA,24 Apr 2010,release_countrytt1087524,budget,Crime,2010,1082,Ash Adams,10698,null,8530,null,8530,null,8530,null,8530,400698,169,18,First Look Studios,5
Being Venice,tt2012110,89,English,Australia,N/A,release_countrytt2012110,budget,Drama| Romance,2012,56,Miro Bilbrough,0,null,8530,null,8530,null,8530,null,8530,249,0,0,N/A,5
Vendetta,tt3746298,90,English,USA,12 Jun 2015,release_countrytt3746298,budget,Action| Drama,2015,2121,Jen Soska| Sylvia Soska,79,null,8530,null,8530,null,8530,null,8530,4372506,43673,986,Lionsgate,5
Ghost Machine,tt1286147,100,English,UK,12 Apr 2010,release_countrytt1286147,budget,Action| Sci-Fi| Thriller,2009,1639,Chris Hartwill,0,null,8530,null,8530,null,8530,null,8530,73820,69,33,Anchor Bay Entertainment,5
Grace: The Possession,tt3068192,87,English,USA| Canada,21 Oct 2014,release_countrytt3068192,budget,Horror| Thriller,2014,1975,Jeff Chan,153201,null,8530,null,8530,null,8530,null,8530,1098791,2003,240,Sony Pictures Home Entertainment,5
Resurrection County,tt1297943,95,English,USA,19 Oct 2011,release_countrytt1297943,budget,Horror| Thriller,2008,491,Matt Zettell,0,null,8530,null,8530,null,8530,null,8530,93495,37,17,N/A,5
Progeny,tt0167350,98,English,USA,30 Mar 1999,release_countrytt0167350,budget,Horror| Sci-Fi| Thriller,1998,1186,Brian Yuzna,1278,null,8530,null,8530,null,8530,null,8530,43193,157,13,Sterling Entertainment,5
The Big Ask,tt2327541,91,English,USA,20 May 2014,release_countrytt2327541,budget,Comedy| Drama,2013,526,Thomas Beatty| Rebecca Fishman,127,null,8530,null,8530,null,8530,null,8530,51565,23,22,Tribeca Films,5
Aaron*s Blood,tt3898776,80,English,USA,02 Jun 2017,release_countrytt3898776,budget,Drama| Horror| Mystery,2016,192,Tommy Stovall,0,null,8530,null,8530,null,8530,null,8530,10659,10,2,N/A,5
Brain Drain,tt1272013,104,Spanish| English| German,Spain,24 Apr 2009,release_countrytt1272013,budget,Comedy| Romance,2009,1445,Fernando González Molina,670,null,8530,null,8530,null,8530,null,8530,4109,124,2,N/A,5
Ghost of New Orleans,tt1493815,98,English,USA,08 Jan 2011,release_countrytt1493815,budget,Crime| Drama| Thriller,2011,626,Predrag Antonijevic,40,null,8530,null,8530,null,8530,null,8530,448362,2281,117,SP Releasing,5
Black Scorpion,tt0112519,92,English,USA,22 Aug 1995,release_countrytt0112519,budget,Action| Crime| Sci-Fi,1995,868,Jonathan Winfrey,0,null,8530,null,8530,null,8530,null,8530,68870,110,12,New Horizons Picture Corp.,5
Lucky 13,tt0222167,95,English,USA,N/A,release_countrytt0222167,budget,Comedy| Romance,2005,958,Chris Hall,4100,null,8530,null,8530,null,8530,null,8530,17468,53,4,MGM Home Entertainment,5
1915,tt3781762,82,English,USA,23 Apr 2015,release_countrytt3781762,budget,Drama,2015,4338,Garin Hovannisian| Alec Mouhibian,19107,null,8530,null,8530,null,8530,null,8530,292248,663,121,Bloodvine Media,5
The Wedding Party,tt1465496,97,English,Australia,22 Jul 2010,release_countrytt1465496,budget,Comedy| Drama,2010,431,Amanda Jane,19506,null,8530,null,8530,null,8530,null,8530,211856,1753,98,N/A,5
Americano,tt3181400,98,English| Spanish,Mexico| USA,13 Jun 2017,release_countrytt3181400,budget,Animation| Action| Adventure,2016,120,Ricardo Arnaiz| Mike Kunkel| Raul Garcia,22684,null,8530,null,8530,null,8530,null,8530,1448734,3328,116,N/A,5
The Cottage,tt1977941,88,English,USA,12 Oct 2012,release_countrytt1977941,budget,Thriller,2012,935,Chris Jaymes,20,null,8530,null,8530,null,8530,null,8530,346222,365,35,Entertainment One,5
The Maddening,tt0113732,95,English,USA,18 Jun 1996,release_countrytt0113732,budget,Thriller,1995,564,Danny Huston,1974,null,8530,null,8530,null,8530,null,8530,1275,32,1,Trimark,5
Club Wild Side 2,tt0188509,99,English,USA,06 Dec 1999,release_countrytt0188509,budget,Drama,1998,168,Lawrence Lanoff,1635,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
