They Live,tt0096256,http://www.imdb.com/title/tt0096256/?ref_=fn_tt_tt_1,94 min,English,USA,04 Nov 1988,release_countrytt0096256,4000000,Action| Horror| Sci-Fi,alien|brainwashing|construction worker|sunglasses|teleportation,1988,83|103,John Carpenter,283827,Roddy Piper,71860,Keith David,12336,Meg Foster,1464,George *Buck* Flower,157,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,MCA/Universal Pictures,8
The Great Escape,tt0057115,http://www.imdb.com/title/tt0057115/?ref_=fn_tt_tt_1,172 min,English| German| French| Russian| Spanish,USA,04 Jul 1963,release_countrytt0057115,4000000,Adventure| Drama| History,digging|escape|escape attempt|prisoner|tunnel,1963,181|495,John Sturges,481,Steve McQueen,59213,James Garner,106680,Richard Attenborough,14520,James Donald,509676,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,VCI,9
What the #$*! Do We (K)now!?,tt0399877,http://www.imdb.com/title/tt0399877/?ref_=fn_tt_tt_1,109 min,English| German| Spanish,USA,22 Oct 2004,release_countrytt0399877,,Documentary| Comedy| Drama,consciousness|photographer|radical|science|scientist,2004,12|381,William Arntz| Betsy Chasse| Mark Vicente,218236,Marlee Matlin,171045,Elaine Hendrix,9193,John Ross Bowie,828,Robert Bailey Jr.,3452,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Lord of the Wind,6
The Last Exorcism Part II,tt2034139,http://www.imdb.com/title/tt2034139/?ref_=fn_tt_tt_1,88 min,English,France| USA,01 Mar 2013,release_countrytt2034139,5000000,Drama| Horror| Thriller,car fire|evil|hospital|hotel|prophecy,2013,14|256,Ed Gass-Donnelly,27,Ashley Bell,17993,Julia Garner,908,Spencer Treat Clark,416,David Jensen,4323,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,CBS Films,4
Boyhood,tt1065073,http://www.imdb.com/title/tt1065073/?ref_=fn_tt_tt_1,165 min,English| Spanish,USA,15 Aug 2014,release_countrytt1065073,4000000,Drama,12 year time span|coming of age|domestic abuse|growing up|separated parents,2014,293|115,Richard Linklater,34428,Ellar Coltrane,7350,Patricia Arquette,46736,Elijah Smith,25980,Lorelei Linklater,1577,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,IFC Films,8
Scoop,tt0457513,http://www.imdb.com/title/tt0457513/?ref_=fn_tt_tt_1,96 min,English,UK| USA,28 Jul 2006,release_countrytt0457513,4000000,Comedy| Crime| Mystery,english garden|fake drowning|fake parent|musical instrument|poker the card game,2006,71|714,Woody Allen,1853810,Jim Dunk,700,Robert Bathurst,272,Geoff Bell,531,Christopher Fulford,338,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Focus Features,7
Planet of the Apes,tt0133152,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,119 min,English,USA,27 Jul 2001,release_countrytt0133152,100000000,Action| Adventure| Sci-Fi,astronaut|cage|planet|wilhelm scream|year 2029,2001,189|153,Tim Burton,5195760,Mark Wahlberg,17617483,Tim Roth,31991,Helena Bonham Carter,39621,Michael Clarke Duncan,637432,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,20th Century Fox,6
The Wash,tt0290332,http://www.imdb.com/title/tt0290332/?ref_=fn_tt_tt_1,93 min,English,USA,14 Nov 2001,release_countrytt0290332,4000000,Comedy,african american stereotype|car wash|rent|roommate|threatening telephone call,2001,5|888,DJ Pooh,3128,Anthony Albano,641,Dr. Dre,14537897,Tic,15836920,Lamont Bentley,2314,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Lions Gate Films,5
3 Strikes,tt0199290,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,82 min,English,USA,01 Mar 2000,release_countrytt0199290,6000000,Comedy,adult diaper|diaper|digit in title|dream|sawed off shotgun,2000,1|476,DJ Pooh,3128,Brian Hooks,3875,N*Bushe Wright,2488,Faizon Love,310948,E-40,2009838,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,MGM Home Entertainment,4
The Cooler,tt0318374,http://www.imdb.com/title/tt0318374/?ref_=fn_tt_tt_1,101 min,English,USA,16 Jan 2004,release_countrytt0318374,3200000,Crime| Drama| Fantasy,female pubic hair|girl in panties|leg spreading|public nudity|sex in bed,2003,29|550,Wayne Kramer,17865,William H. Macy,27904,Alec Baldwin,116442,Maria Bello,29430,Shawn Hatosy,13032,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Lions Gate Films,7
The Misfits,tt0055184,http://www.imdb.com/title/tt0055184/?ref_=fn_tt_tt_1,125 min,English,USA,01 Feb 1961,release_countrytt0055184,4000000,Drama| Romance| Western,cowboy|divorce|horse|sexy|wild horse,1961,14|032,John Huston,29729,Clark Gable,54466,Marilyn Monroe,14545508,Montgomery Clift,11459,Thelma Ritter,1536,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,United Artists,8
The Night Listener,tt0448075,http://www.imdb.com/title/tt0448075/?ref_=fn_tt_tt_1,91 min,English,USA,04 Aug 2006,release_countrytt0448075,4000000,Crime| Mystery| Thriller,boy|radio show|social worker|telephone|wisconsin,2006,13|440,Patrick Stettner,108,Robin Williams,107385,Toni Collette,18704,Joe Morton,23840,Bobby Cannavale,9464,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Miramax,6
The Jerky Boys,tt0110189,http://www.imdb.com/title/tt0110189/?ref_=fn_tt_tt_1,82 min,English,USA,03 Feb 1995,release_countrytt0110189,,Comedy| Crime,critically bashed|mafia|police|telephone|unemployment,1995,2|209,James Melkonian,17,John G. Brennan,517,Kamal Ahmed,294356,Alan Arkin,7076,William Hickey,823,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Buena Vista,5
My Soul to Take,tt0872230,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,107 min,English,USA,08 Oct 2010,release_countrytt0872230,25000000,Horror| Mystery| Thriller,evil|killer|murder|psychopath|serial killer,2010,17|269,Wes Craven,68573,Max Thieriot,31678,John Magaro,644,Denzel Whitaker,964,Zena Grey,841,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Universal Pictures,5
The Orphanage,tt0464141,http://www.imdb.com/title/tt0464141/?ref_=fn_tt_tt_1,105 min,Spanish,Spain,11 Jan 2008,release_countrytt0464141,3400000,Drama| Mystery| Thriller,dead children|ghost|missing child|orphan|orphanage,2007,128|135,J.A. Bayona,362,Belén Rueda,30657,Fernando Cayo,8130,Roger Príncep,287,Mabel Rivera,27,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Picturehouse,8
A Haunted House 2,tt2828996,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1,86 min,English,USA,18 Apr 2014,release_countrytt2828996,4000000,Comedy| Fantasy,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,2014,16|140,Michael Tiddes,22,Marlon Wayans,6739265,Jaime Pressly,23606,Essence Atkins,20983,Gabriel Iglesias,9150099,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Open Road Films,5
The Rules of Attraction,tt0292644,http://www.imdb.com/title/tt0292644/?ref_=fn_tt_tt_1,110 min,English| German,Germany| USA,11 Oct 2002,release_countrytt0292644,4000000,Comedy| Drama| Romance,bisexual|college|drug dealer|drugs|student,2002,45|856,Roger Avary,1355,James Van Der Beek,146211,Shannyn Sossamon,17336,Jessica Biel,1682944,Kip Pardue,1378,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Lions Gate Films,7
Topaz,tt0065112,http://www.imdb.com/title/tt0065112/?ref_=fn_tt_tt_1,143 min,English| Spanish| French| Russian,USA,19 Dec 1969,release_countrytt0065112,4000000,Drama| Thriller,1960s|agent|cuba|intelligence|spy,1969,13|720,Alfred Hitchcock,1863458,Frederick Stafford,9,Dany Robin,18316,John Vernon,1020,Karin Dor,1607,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Universal Pictures,7
Let*s Go to Prison,tt0454987,http://www.imdb.com/title/tt0454987/?ref_=fn_tt_tt_1,84 min,English,USA,17 Nov 2006,release_countrytt0454987,,Comedy| Crime,illinois|judge|male full back nudity|revenge|wine tasting,2006,20|786,Bob Odenkirk,95390,Dax Shepard,51376,Will Arnett,1135696,Chi McBride,1495068,David Koechner,51310,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Universal Pictures,6
Four Rooms,tt0113101,http://www.imdb.com/title/tt0113101/?ref_=fn_tt_tt_1,98 min,English,USA,25 Dec 1995,release_countrytt0113101,4000000,Comedy,bellhop|coven|gangster|hotel|new year`s eve,1995,83|506,Allison Anders| Alexandre Rockwell| Robert Rodriguez| Quentin Tarantino,8892968,Sammi Davis,78,Amanda De Cadenet,23766,Valeria Golino,2741,Madonna,18687074,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Miramax Films,7
Secretary,tt0274812,http://www.imdb.com/title/tt0274812/?ref_=fn_tt_tt_1,107 min,English,USA,11 Oct 2002,release_countrytt0274812,4000000,Comedy| Drama| Romance,bdsm|employer employee relationship|hospital|mental hospital|secretary,2002,72|032,Steven Shainberg,258,James Spader,88130,Maggie Gyllenhaal,617305,Jeremy Davies,2704,Lesley Ann Warren,2776,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Lions Gate,7
The Real Cancun,tt0360916,http://www.imdb.com/title/tt0360916/?ref_=fn_tt_tt_1,96 min,English,USA,25 Apr 2003,release_countrytt0360916,8000000,Documentary,cancun mexico|mexico|spring break|vacation|wisconsin,2003,3|649,Rick de Oliveira,199,Benjamin Fletcher,101,Nicole Frilot,0,Roxanne Frilot,0,David Ingber,109,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,New Line Cinema,3
Talk Radio,tt0096219,http://www.imdb.com/title/tt0096219/?ref_=fn_tt_tt_1,110 min,English,USA| Canada,13 Jan 1989,release_countrytt0096219,4000000,Drama,listener|neo nazi|radio|radio station|radio talk show,1988,10|633,Oliver Stone,360991,Eric Bogosian,2664,Ellen Greene,2048,Leslie Hope,2230,John C. McGinley,14563,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,MCA Universal Home Video,8
Waiting for Guffman,tt0118111,http://www.imdb.com/title/tt0118111/?ref_=fn_tt_tt_1,84 min,English,USA,31 Jan 1997,release_countrytt0118111,4000000,Comedy,amateur theater|dentist|missouri|small town|travel agent,1996,23|538,Christopher Guest,16515,Deborah Theaker,149,Michael Hitchcock,4899,Scott Williamson,225,Larry Miller,4924,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Sony Pictures Classics,8
Love Stinks,tt0188863,http://www.imdb.com/title/tt0188863/?ref_=fn_tt_tt_1,94 min,English,USA,10 Sep 1999,release_countrytt0188863,4000000,Comedy,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,1999,4|498,Jeff Franklin,537,French Stewart,2493,Bridgette Wilson-Sampras,324,Bill Bellamy,35527,Tyra Banks,8250147,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Legacy Releasing,6
You Kill Me,tt0796375,http://www.imdb.com/title/tt0796375/?ref_=fn_tt_tt_1,93 min,English,USA,13 Jul 2007,release_countrytt0796375,4000000,Comedy| Crime| Romance,alcoholic|buffalo new york|claim in title|embalming|mortuary,2007,16|628,John Dahl,325398,Ben Kingsley,80536,Téa Leoni,59398,Luke Wilson,35605,Dennis Farina,4866,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,IFC Films,7
Thumbsucker,tt0318761,http://www.imdb.com/title/tt0318761/?ref_=fn_tt_tt_1,96 min,English,USA,07 Oct 2005,release_countrytt0318761,4000000,Comedy| Drama,attention deficit disorder|debate|drugs|psychologist|school,2005,19|328,Mike Mills,2726,Ted Beckman,0,Benjamin Bratt,50697,Vincent D*Onofrio,74672,Arvin V. Entena,0,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Sony Pictures Classics,7
Red State,tt0873886,http://www.imdb.com/title/tt0873886/?ref_=fn_tt_tt_1,88 min,English,USA,30 Sep 2011,release_countrytt0873886,4000000,Action| Crime| Horror,atf agent|ball gag|cult leader|pastor|pretending to be dead,2011,56|356,Kevin Smith,2758132,Michael Angarano,15749,Deborah Aquila,250,Nicholas Braun,4073,Ronnie Connell,3,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,SModcast Pictures,7
Mirrormask,tt0366780,http://www.imdb.com/title/tt0366780/?ref_=fn_tt_tt_1,101 min,English,UK| USA,03 Mar 2006,release_countrytt0366780,4000000,Adventure| Fantasy,circus|dark fantasy|dream|dream world|fantasy world,2005,20|906,Dave McKean,11487,Stephanie Leonidas,4791,Jason Barry,1381,Rob Brydon,22995,Gina McKee,418,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Samuel Goldwyn Films,7
Samsara,tt0770802,http://www.imdb.com/title/tt0770802/?ref_=fn_tt_tt_1,102 min,None,USA| Indonesia| Singapore| Thailand| Kenya| Denmark| Brazil| Jordan| United Arab Emirates| Saudi Arabia| South Africa| Italy| Ghana| Egypt| China| Japan,23 Aug 2012,release_countrytt0770802,4000000,Documentary| Music,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,2011,26|027,Ron Fricke,4589,Balinese Tari Legong Dancers,0,Ni Made Megahadi Pratiwi,0,Puti Sri Candra Dewi,0,Putu Dinda Pratika,0,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Oscilloscope Pictures,9
The Barbarians,tt0092615,http://www.imdb.com/title/tt0092615/?ref_=fn_tt_tt_1,87 min,English| Italian,USA| Italy,20 Mar 1987,release_countrytt0092615,4000000,Fantasy| Adventure,bare breasts|comic relief|dragon|gladiator|harem,1987,2|528,Ruggero Deodato,4395,Peter Paul,7611945,David Paul,133422,Richard Lynch,11286,Eva LaRue,19548,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Media Home Entertainment,5
The Art of Getting By,tt1645080,http://www.imdb.com/title/tt1645080/?ref_=fn_tt_tt_1,83 min,English,USA,17 Jun 2011,release_countrytt1645080,,Drama| Romance,art teacher|artist|high school|homework|principal,2011,49|506,Gavin Wiesen,56,Freddie Highmore,84512,Emma Roberts,2022136,Sasha Spielberg,318,Marcus Carl Franklin,135,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Fox Searchlight,7
Zipper,tt3346224,http://www.imdb.com/title/tt3346224/?ref_=fn_tt_tt_1,103 min,English,USA,28 Aug 2015,release_countrytt3346224,4500000,Drama| Thriller,escort|f word|no opening credits|one word title|prosecutor,2015,5|127,Mora Stephens,24,Patrick Wilson,85248,Lena Headey,155976,Ray Winstone,32467,Richard Dreyfuss,22351,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Alchemy Films,6
